ID,Clues,SolutionGrid
Pt1_Zebra_1domain_replacements-0,"There are 5 different nationalities: english, spanish, ukranian, norwegian, japanese
5 different brands of cigars are smoked: old-gold, kools, chesterfields, lucky-strike, parliaments
The people prefer 5 different types of sport: baseball, biathlon, weightlifting, handball, parkour
5 different pets are kept: dog, fox, zebra, horse, snails
1. the english is the person who likes red
2. the spanish is the owner of the dog
3. the person who's sport is baseball is the person who likes green
4. the ukranian is the person who's sport is biathlon
5. the person who likes green is to the right of the person who likes ivory
6. the old-gold-smoker is the owner of the snails
7. the kools-smoker is the person who likes yellow
8. the person who's sport is weightlifting is in the middle
9. the norwegian is on the far left
10. the chesterfields-smoker is on the left or right of the owner of the fox
11. the kools-smoker is to the left or right of the owner of the horse
12. the lucky-strike-smoker is the person who's sport is handball
13. the japanese is the parliaments-smoker
14. the norwegian is to the left or right of the person who likes blue","{'nationality': ['norwegian', 'ukranian', 'english', 'spanish', 'japanese'], 'color': ['yellow', 'blue', 'red', 'ivory', 'green'], 'sport': ['parkour', 'biathlon', 'weightlifting', 'handball', 'baseball'], 'cigar': ['kools', 'chesterfield', 'olg-gold', 'lucky-strike', 'parliament'], 'pet': ['fox', 'horse', 'snails', 'dog', 'zebra']}"
Pt1_Zebra_2domain_replacements-0,"City: berlin, nizza, marseilles, london, colone
5 different brands of cigars are smoked: old-gold, kools, chesterfields, lucky-strike, parliaments
The people have 5 different jobs:  architect, dancer, social-worker, project-manager, electrician
5 different pets are kept: dog, fox, zebra, horse, snails
1. the person traveling to berlin is the person who likes red
2. the person traveling to nizza is the owner of the dog
3. the architect is the person who likes green
4. the person traveling to marseilles is the dancer
5. the person who likes green is to the right of the person who likes ivory
6. the old-gold-smoker is the owner of the snails
7. the kools-smoker is the person who likes yellow
8. the social-worker is in the middle
9. the person traveling to london is on the far left
10. the chesterfields-smoker is on the left or right of the owner of the fox
11. the kools-smoker is to the left or right of the owner of the horse
12. the lucky-strike-smoker is the project-manager
13. the person traveling to colone is the parliaments-smoker
14. the person traveling to london is to the left or right of the person who likes blue","{'city': ['london', 'marseilles', 'berlin', 'nizza', 'colone'], 'color': ['yellow', 'blue', 'red', 'ivory', 'green'], 'job': ['electrician', 'dancer', 'social-worker', 'project-manager', 'architect'], 'cigar': ['kools', 'chesterfield', 'olg-gold', 'lucky-strike', 'parliament'], 'pet': ['fox', 'horse', 'snails', 'dog', 'zebra']}"
Pt1_Zebra_3domain_replacements-0,"There are 5 different nationalities: english, spanish, ukranian, norwegian, japanese
The people prefer 5 different music-genres: hip-hop, classical, trance, d&b, rock
There are 5 different favourite beverages: coffee, tea, milk, orange-juice, water
The people have 5 different hobbies: singing, photography, board-games, fishing, writing
1. the english is the person driving the motorbike
2. the spanish is the person who's hobby is singing
3. the person drinking coffee is the person driving the bus
4. the ukranian is the person drinking tea
5. the person driving the bus is to the right of the person driving the ship
6. the fan of hip-hop is the person who's hobby is writing
7. the fan of quad-bikes is the person driving the subway
8. the person drinking milk is in the middle
9. the norwegian is on the far left
10. the fan of trance is on the left or right of the person who's hobby is photography
11. the fan of quad-bikes is to the left or right of the person who's hobby is fishing
12. the fan of d&b is the person drinking orange-juice
13. the japanese is the fan of rock
14. the norwegian is to the left or right of the person driving the quad-bike","{'nationality': ['norwegian', 'ukranian', 'english', 'spanish', 'japanese'], 'transport': ['subway', 'quad-bike', 'motorbike', 'ship', 'bus'], 'beverage': ['water', 'tea', 'milk', 'orange-juice', 'coffee'], 'music-genre': ['classical', 'trance', 'hip-hop', 'd&b', 'rock'], 'hobby': ['photography', 'fishing', 'writing', 'singing', 'board-games']}"
Pt1_Zebra_4domain_replacements-0,"The people prefer 5 different types of sport: lacrosse, water-polo, snowboarding, cricket, biathlon
There 5 different types of food: cranberry, spinach, cauliflower, grapes, lime
There are 5 different favourite beverages: coffee, tea, milk, orange-juice, water
The people have 5 different jobs:  social-worker, chef, pilot, bartender, engineer
1. the person who's sport is lacrosse is the person watching mystery movies
2. the person who's sport is water-polo is the social-worker
3. the person drinking coffee is the person watching horror movies
4. the person who's sport is snowboarding is the person drinking tea
5. the person watching horror movies is to the right of the person watching adventure movies
6. the person eating cranberry is the engineer
7. the person eating spinach is the person watching western movies
8. the person drinking milk is in the middle
9. the person who's sport is cricket is on the far left
10. the person eating cauliflower is on the left or right of the chef
11. the person eating spinach is to the left or right of the bartender
12. the person eating grapes is the person drinking orange-juice
13. the person who's sport is biathlon is the person eating lime
14. the person who's sport is cricket is to the left or right of the person watching drama movies","{'sport': ['cricket', 'snowboarding', 'lacrosse', 'water-polo', 'biathlon'], 'movie-genre': ['western', 'drama', 'mystery', 'adventure', 'horror'], 'beverage': ['water', 'tea', 'milk', 'orange-juice', 'coffee'], 'food': ['spinach', 'cauliflower', 'cranberry', 'grapes', 'lime'], 'job': ['chef', 'bartender', 'engineer', 'social-worker', 'pilot']}"
Pt1_Zebra_5domain_replacements-0,"The people prefer 5 different music-genres: indie, pop, techno, electronic, trance
House: colonial, victorian, gothic-revival, townhouse, futuristic
5 different games are played: go, domino, monopoly, mah-jongg, chess
The people grow 5 different varities of flowers: azalea, marigold, dahlia, orchid, bellflower
1. the fan of indie is the person eating onion
2. the fan of pop is the person who grows azalea
3. the person playing go is the person eating zucchini
4. the fan of techno is the person playing domino
5. the person eating zucchini is to the right of the person eating carrot
6. the colonial house is the person who grows bellflower
7. the victorian house is the person eating radish
8. the person playing monopoly is in the middle
9. the fan of electronic is on the far left
10. the gothic-revival house is on the left or right of the person who grows marigold
11. the victorian house is to the left or right of the person who grows orchid
12. the townhouse house is the person playing mah-jongg
13. the fan of trance is the futuristic house
14. the fan of electronic is to the left or right of the person eating lettuce","{'music-genre': ['electronic', 'techno', 'indie', 'pop', 'trance'], 'food': ['radish', 'lettuce', 'onion', 'carrot', 'zucchini'], 'game': ['chess', 'domino', 'monopoly', 'mah-jongg', 'go'], 'house': ['victorian', 'gothic-revival', 'colonial', 'townhouse', 'futuristic'], 'flower': ['marigold', 'orchid', 'bellflower', 'azalea', 'dahlia']}"
Pt1_Zebra_1domain_replacements-1,"The people's birthday is in 5 different months: october, may, january, april, march
5 different brands of cigars are smoked: old-gold, kools, chesterfields, lucky-strike, parliaments
There are 5 different favourite beverages: coffee, tea, milk, orange-juice, water
5 different pets are kept: dog, fox, zebra, horse, snails
1. the person who's birthday is in october is the person who likes red
2. the person who's birthday is in may is the owner of the dog
3. the person drinking coffee is the person who likes green
4. the person who's birthday is in january is the person drinking tea
5. the person who likes green is to the right of the person who likes ivory
6. the old-gold-smoker is the owner of the snails
7. the kools-smoker is the person who likes yellow
8. the person drinking milk is in the middle
9. the person who's birthday is in april is on the far left
10. the chesterfields-smoker is on the left or right of the owner of the fox
11. the kools-smoker is to the left or right of the owner of the horse
12. the lucky-strike-smoker is the person drinking orange-juice
13. the person who's birthday is in march is the parliaments-smoker
14. the person who's birthday is in april is to the left or right of the person who likes blue","{'birthday': ['april', 'january', 'october', 'may', 'march'], 'color': ['yellow', 'blue', 'red', 'ivory', 'green'], 'beverage': ['water', 'tea', 'milk', 'orange-juice', 'coffee'], 'cigar': ['kools', 'chesterfield', 'olg-gold', 'lucky-strike', 'parliament'], 'pet': ['fox', 'horse', 'snails', 'dog', 'zebra']}"
Pt1_Zebra_2domain_replacements-1,"There 5 different types of food: strawberry, lime, potato, pomegranate, peach
5 different brands of cigars are smoked: old-gold, kools, chesterfields, lucky-strike, parliaments
The people prefer 5 different types of sport: skiing, cycling, surfing, handball, golf
5 different pets are kept: dog, fox, zebra, horse, snails
1. the person eating strawberry is the person who likes red
2. the person eating lime is the owner of the dog
3. the person who's sport is skiing is the person who likes green
4. the person eating potato is the person who's sport is cycling
5. the person who likes green is to the right of the person who likes ivory
6. the old-gold-smoker is the owner of the snails
7. the kools-smoker is the person who likes yellow
8. the person who's sport is surfing is in the middle
9. the person eating pomegranate is on the far left
10. the chesterfields-smoker is on the left or right of the owner of the fox
11. the kools-smoker is to the left or right of the owner of the horse
12. the lucky-strike-smoker is the person who's sport is handball
13. the person eating peach is the parliaments-smoker
14. the person eating pomegranate is to the left or right of the person who likes blue","{'food': ['pomegranate', 'potato', 'strawberry', 'lime', 'peach'], 'color': ['yellow', 'blue', 'red', 'ivory', 'green'], 'sport': ['golf', 'cycling', 'surfing', 'handball', 'skiing'], 'cigar': ['kools', 'chesterfield', 'olg-gold', 'lucky-strike', 'parliament'], 'pet': ['fox', 'horse', 'snails', 'dog', 'zebra']}"
Pt1_Zebra_3domain_replacements-1,"The people use 5 different means of transport: quad-bike, ship, van, helicopter, skateboard
5 different brands of cigars are smoked: old-gold, kools, chesterfields, lucky-strike, parliaments
City: hannover, berlin, venice, colone, hamburg
5 different pets are kept: dog, fox, zebra, horse, snails
1. the person driving the quad-bike is the person who's birthday is in may
2. the person driving the ship is the owner of the dog
3. the person traveling to hannover is the person who's birthday is in january
4. the person driving the van is the person traveling to berlin
5. the person who's birthday is in january is to the right of the person who's birthday is in july
6. the old-gold-smoker is the owner of the snails
7. the kools-smoker is the person who's birthday is in june
8. the person traveling to venice is in the middle
9. the person driving the helicopter is on the far left
10. the chesterfields-smoker is on the left or right of the owner of the fox
11. the kools-smoker is to the left or right of the owner of the horse
12. the lucky-strike-smoker is the person traveling to colone
13. the person driving the skateboard is the parliaments-smoker
14. the person driving the helicopter is to the left or right of the person who's birthday is in september","{'transport': ['helicopter', 'van', 'quad-bike', 'ship', 'skateboard'], 'birthday': ['june', 'september', 'may', 'july', 'january'], 'city': ['hamburg', 'berlin', 'venice', 'colone', 'hannover'], 'cigar': ['kools', 'chesterfield', 'olg-gold', 'lucky-strike', 'parliament'], 'pet': ['fox', 'horse', 'snails', 'dog', 'zebra']}"
Pt1_Zebra_4domain_replacements-1,"The people have 5 different hobbies: singing, video-games, board-games, cooking, magic-tricks
The people perfer 5 different movie-genres: satire, documentary, fantasy, mystery, horror
The people have 5 different jobs:  journalist, electrician, freelancer, lawyer, librarian
House: colonial, farmhouse, townhouse, craftsman, gothic-revival
1. the person who's hobby is singing is the person who likes red
2. the person who's hobby is video-games is the colonial house
3. the journalist is the person who likes green
4. the person who's hobby is board-games is the electrician
5. the person who likes green is to the right of the person who likes ivory
6. the person watching satire movies is the gothic-revival house
7. the person watching documentary movies is the person who likes yellow
8. the freelancer is in the middle
9. the person who's hobby is cooking is on the far left
10. the person watching fantasy movies is on the left or right of the farmhouse house
11. the person watching documentary movies is to the left or right of the craftsman house
12. the person watching mystery movies is the lawyer
13. the person who's hobby is magic-tricks is the person watching horror movies
14. the person who's hobby is cooking is to the left or right of the person who likes blue","{'hobby': ['cooking', 'board-games', 'singing', 'video-games', 'magic-tricks'], 'color': ['yellow', 'blue', 'red', 'ivory', 'green'], 'job': ['librarian', 'electrician', 'freelancer', 'lawyer', 'journalist'], 'movie-genre': ['documentary', 'fantasy', 'satire', 'mystery', 'horror'], 'house': ['farmhouse', 'craftsman', 'gothic-revival', 'colonial', 'townhouse']}"
Pt1_Zebra_5domain_replacements-1,"The people prefer 5 different music-genres: gospel, d&b, ambient, soul, blues
The people have 5 different hobbies: sudoku, photography, filmmaking, skydiving, cooking
The people have 5 different jobs:  chef, bartender, dressmaker, software-developer, musician
The people prefer 5 different types of sport: ice-hockey, badminton, surfing, cricket, baseball
1. the fan of gospel is the person traveling to prague
2. the fan of d&b is the person who's sport is ice-hockey
3. the chef is the person traveling to hannover
4. the fan of ambient is the bartender
5. the person traveling to hannover is to the right of the person traveling to edinburgh
6. the person who's hobby is sudoku is the person who's sport is baseball
7. the person who's hobby is photography is the person traveling to rome
8. the dressmaker is in the middle
9. the fan of soul is on the far left
10. the person who's hobby is filmmaking is on the left or right of the person who's sport is badminton
11. the person who's hobby is photography is to the left or right of the person who's sport is cricket
12. the person who's hobby is skydiving is the software-developer
13. the fan of blues is the person who's hobby is cooking
14. the fan of soul is to the left or right of the person traveling to berlin","{'music-genre': ['soul', 'ambient', 'gospel', 'd&b', 'blues'], 'city': ['rome', 'berlin', 'prague', 'edinburgh', 'hannover'], 'job': ['musician', 'bartender', 'dressmaker', 'software-developer', 'chef'], 'hobby': ['photography', 'filmmaking', 'sudoku', 'skydiving', 'cooking'], 'sport': ['badminton', 'cricket', 'baseball', 'ice-hockey', 'surfing']}"
