ID,Clues,SolutionGrid
Pt1_Einstein_1domain_replacements-0,"There are 5 different nationalities: british, danish, german, norwegian, swede
The people have 5 different hobbies: woodworking, fishing, filmmaking, chess, photography
5 different brands of cigars are smoked: bluemaster, dunhill, pall-mall, prince, blend
5 different pets are kept: cat, bird, dog, fish, horse
1. the british is the person who likes red
2. the swedish is the owner of the dog
3. the danish is the person who's hobby is chess
4. the person who likes green is on the left of the person who likes white
5. the person who likes green is the person who's hobby is fishing
6. the pall-mall-smoker is the owner of the bird
7. the person who likes yellow is the dunhill-smoker
8. the person who's hobby is filmmaking is in the middle
9. the norwegian is on the far left
10. the blend-smoker is on the left or right of the owner of the cat
11. the owner of the horses is on the left or right of the dunhill-smoker
12. the bluemaster-smoker is the person who's hobby is woodworking
13. the german is the prince-smoker
14. the norwegian is on the left or right of the person who likes blue
15. the blend-smoker is on the left or right of the person who's hobby is photography","{'color': ['yellow', 'blue', 'red', 'green', 'white'], 'nationality': ['norwegian', 'danish', 'british', 'german', 'swedish'], 'pet': ['cat', 'horse', 'bird', 'fish', 'dog'], 'hobby': ['photography', 'chess', 'filmmaking', 'fishing', 'woodworking'], 'cigar': ['dunhill', 'blend', 'pall-mall', 'prince', 'bluemaster']}"
Pt1_Einstein_2domain_replacements-0,"There are 5 different nationalities: british, danish, german, norwegian, swede
House: cottage, townhouse, palace, tower, modern
5 different brands of cigars are smoked: bluemaster, dunhill, pall-mall, prince, blend
There 5 different types of food: lemon, onion, strawberry, lime, eggplant
1. the british is the person who likes red
2. the swedish is the person eating strawberry
3. the danish is the tower house
4. the person who likes green is on the left of the person who likes white
5. the person who likes green is the townhouse house
6. the pall-mall-smoker is the person eating onion
7. the person who likes yellow is the dunhill-smoker
8. the palace house is in the middle
9. the norwegian is on the far left
10. the blend-smoker is on the left or right of the person eating lemon
11. the person eating eggplants is on the left or right of the dunhill-smoker
12. the bluemaster-smoker is the cottage house
13. the german is the prince-smoker
14. the norwegian is on the left or right of the person who likes blue
15. the blend-smoker is on the left or right of the modern house","{'color': ['yellow', 'blue', 'red', 'green', 'white'], 'nationality': ['norwegian', 'danish', 'british', 'german', 'swedish'], 'food': ['lemon', 'eggplant', 'onion', 'lime', 'strawberry'], 'house': ['modern', 'tower', 'palace', 'townhouse', 'cottage'], 'cigar': ['dunhill', 'blend', 'pall-mall', 'prince', 'bluemaster']}"
Pt1_Einstein_3domain_replacements-0,"There are 5 different nationalities: british, danish, german, norwegian, swede
The people have 5 different hobbies: woodworking, traveling, fishing, photography, reading
The people perfer 5 different movie-genres: comedy, western, documentary, horror, zombie
5 different pets are kept: cat, bird, dog, fish, horse
1. the british is the person traveling to venice
2. the swedish is the owner of the dog
3. the danish is the person who's hobby is photography
4. the person traveling to miami is on the left of the person traveling to hannover
5. the person traveling to miami is the person who's hobby is traveling
6. the person watching documentary movies is the owner of the bird
7. the person traveling to nizza is the person watching western movies
8. the person who's hobby is fishing is in the middle
9. the norwegian is on the far left
10. the person watching zombie movies is on the left or right of the owner of the cat
11. the owner of the horses is on the left or right of the person watching western movies
12. the person watching comedy movies is the person who's hobby is woodworking
13. the german is the person watching horror movies
14. the norwegian is on the left or right of the person traveling to liverpool
15. the person watching zombie movies is on the left or right of the person who's hobby is reading","{'city': ['nizza', 'liverpool', 'venice', 'miami', 'hannover'], 'nationality': ['norwegian', 'danish', 'british', 'german', 'swedish'], 'pet': ['cat', 'horse', 'bird', 'fish', 'dog'], 'hobby': ['reading', 'photography', 'fishing', 'traveling', 'woodworking'], 'movie-genre': ['western', 'zombie', 'documentary', 'horror', 'comedy']}"
Pt1_Einstein_4domain_replacements-0,"The people grow 5 different varities of flowers: iris, orchid, balloon-flower, sunflower, zinnia
The people perfer 5 different movie-genres: western, drama, horror, scientific, martial-arts
5 different brands of cigars are smoked: bluemaster, dunhill, pall-mall, prince, blend
The people prefer 5 different music-genres: funk, reggae, r&b, classical, country
1. the person who grows iris is the person traveling to rome
2. the person who grows zinnia is the fan of r&b
3. the person who grows orchid is the person watching scientific movies
4. the person traveling to boston is on the left of the person traveling to edinburgh
5. the person traveling to boston is the person watching drama movies
6. the pall-mall-smoker is the fan of reggae
7. the person traveling to nizza is the dunhill-smoker
8. the person watching horror movies is in the middle
9. the person who grows sunflower is on the far left
10. the blend-smoker is on the left or right of the fan of funk
11. the fan of countrys is on the left or right of the dunhill-smoker
12. the bluemaster-smoker is the person watching western movies
13. the person who grows balloon-flower is the prince-smoker
14. the person who grows sunflower is on the left or right of the person traveling to liverpool
15. the blend-smoker is on the left or right of the person watching martial-arts movies","{'city': ['nizza', 'liverpool', 'rome', 'boston', 'edinburgh'], 'flower': ['sunflower', 'orchid', 'iris', 'balloon-flower', 'zinnia'], 'music-genre': ['funk', 'country', 'reggae', 'classical', 'r&b'], 'movie-genre': ['martial-arts', 'scientific', 'horror', 'drama', 'western'], 'cigar': ['dunhill', 'blend', 'pall-mall', 'prince', 'bluemaster']}"
Pt1_Einstein_5domain_replacements-0,"The people prefer 5 different music-genres: trance, rock, ambient, folk, reggae
House: ranch-style, wooden, gothic-revival, palace, futuristic
The people have 5 different jobs:  motorbikemaster, mechanic, architect, bartender, librarian
The people's birthday is in 5 different months: june, may, september, february, july
1. the fan of trance is the person driving the train
2. the fan of reggae is the person who's birthday is in september
3. the fan of rock is the palace house
4. the person driving the subway is on the left of the person driving the snowmobile
5. the person driving the subway is the wooden house
6. the architect is the person who's birthday is in may
7. the person driving the quad-bike is the mechanic
8. the gothic-revival house is in the middle
9. the fan of folk is on the far left
10. the librarian is on the left or right of the person who's birthday is in june
11. the person who's birthday is in julys is on the left or right of the mechanic
12. the motorbikemaster is the ranch-style house
13. the fan of ambient is the bartender
14. the fan of folk is on the left or right of the person driving the motorbike
15. the librarian is on the left or right of the futuristic house","{'transport': ['quad-bike', 'motorbike', 'train', 'subway', 'snowmobile'], 'music-genre': ['folk', 'rock', 'trance', 'ambient', 'reggae'], 'birthday': ['june', 'july', 'may', 'february', 'september'], 'house': ['futuristic', 'palace', 'gothic-revival', 'wooden', 'ranch-style'], 'job': ['mechanic', 'librarian', 'architect', 'bartender', 'motorbikemaster']}"
Pt1_Einstein_1domain_replacements-1,"There 5 different types of food: cucumber, lettuce, pear, radish, grapes
There are 5 different favourite beverages: beer, coffee, milk, tea, water
5 different brands of cigars are smoked: bluemaster, dunhill, pall-mall, prince, blend
5 different pets are kept: cat, bird, dog, fish, horse
1. the person eating cucumber is the person who likes red
2. the person eating grapes is the owner of the dog
3. the person eating lettuce is the person drinking tea
4. the person who likes green is on the left of the person who likes white
5. the person who likes green is the person drinking coffee
6. the pall-mall-smoker is the owner of the bird
7. the person who likes yellow is the dunhill-smoker
8. the person drinking milk is in the middle
9. the person eating radish is on the far left
10. the blend-smoker is on the left or right of the owner of the cat
11. the owner of the horses is on the left or right of the dunhill-smoker
12. the bluemaster-smoker is the person drinking beer
13. the person eating pear is the prince-smoker
14. the person eating radish is on the left or right of the person who likes blue
15. the blend-smoker is on the left or right of the person drinking water","{'color': ['yellow', 'blue', 'red', 'green', 'white'], 'food': ['radish', 'lettuce', 'cucumber', 'pear', 'grapes'], 'pet': ['cat', 'horse', 'bird', 'fish', 'dog'], 'beverage': ['water', 'tea', 'milk', 'coffee', 'beer'], 'cigar': ['dunhill', 'blend', 'pall-mall', 'prince', 'bluemaster']}"
Pt1_Einstein_2domain_replacements-1,"The people prefer 5 different types of sport: tennis, skateboarding, soccer, parkour, snowboarding
There are 5 different favourite beverages: beer, coffee, milk, tea, water
5 different brands of cigars are smoked: bluemaster, dunhill, pall-mall, prince, blend
The people's birthday is in 5 different months: february, april, january, june, november
1. the person who's sport is tennis is the person who likes red
2. the person who's sport is snowboarding is the person who's birthday is in january
3. the person who's sport is skateboarding is the person drinking tea
4. the person who likes green is on the left of the person who likes white
5. the person who likes green is the person drinking coffee
6. the pall-mall-smoker is the person who's birthday is in april
7. the person who likes yellow is the dunhill-smoker
8. the person drinking milk is in the middle
9. the person who's sport is parkour is on the far left
10. the blend-smoker is on the left or right of the person who's birthday is in february
11. the person who's birthday is in novembers is on the left or right of the dunhill-smoker
12. the bluemaster-smoker is the person drinking beer
13. the person who's sport is soccer is the prince-smoker
14. the person who's sport is parkour is on the left or right of the person who likes blue
15. the blend-smoker is on the left or right of the person drinking water","{'color': ['yellow', 'blue', 'red', 'green', 'white'], 'sport': ['parkour', 'skateboarding', 'tennis', 'soccer', 'snowboarding'], 'birthday': ['february', 'november', 'april', 'june', 'january'], 'beverage': ['water', 'tea', 'milk', 'coffee', 'beer'], 'cigar': ['dunhill', 'blend', 'pall-mall', 'prince', 'bluemaster']}"
Pt1_Einstein_3domain_replacements-1,"City: new-york, san-francisco, venice, prague, nizza
The people's birthday is in 5 different months: november, march, july, february, may
5 different brands of cigars are smoked: bluemaster, dunhill, pall-mall, prince, blend
The people have 5 different jobs:  nurseryman, dancer, dressmaker, nurse, librarian
1. the person traveling to new-york is the person who likes red
2. the person traveling to nizza is the dressmaker
3. the person traveling to san-francisco is the person who's birthday is in february
4. the person who likes green is on the left of the person who likes white
5. the person who likes green is the person who's birthday is in march
6. the pall-mall-smoker is the dancer
7. the person who likes yellow is the dunhill-smoker
8. the person who's birthday is in july is in the middle
9. the person traveling to prague is on the far left
10. the blend-smoker is on the left or right of the nurseryman
11. the librarians is on the left or right of the dunhill-smoker
12. the bluemaster-smoker is the person who's birthday is in november
13. the person traveling to venice is the prince-smoker
14. the person traveling to prague is on the left or right of the person who likes blue
15. the blend-smoker is on the left or right of the person who's birthday is in may","{'color': ['yellow', 'blue', 'red', 'green', 'white'], 'city': ['prague', 'san-francisco', 'new-york', 'venice', 'nizza'], 'job': ['nurseryman', 'librarian', 'dancer', 'nurse', 'dressmaker'], 'birthday': ['may', 'february', 'july', 'march', 'november'], 'cigar': ['dunhill', 'blend', 'pall-mall', 'prince', 'bluemaster']}"
Pt1_Einstein_4domain_replacements-1,"There 5 different types of food: eggplant, papaya, peach, carrot, pepper
The people prefer 5 different types of sport: sailing, volleyball, climbing, handball, ice-hockey
The people perfer 5 different movie-genres: thriller, disaster, comedy, spy, animation
5 different pets are kept: cat, bird, dog, fish, horse
1. the person eating eggplant is the person who's hobby is camping
2. the person eating pepper is the owner of the dog
3. the person eating papaya is the person who's sport is handball
4. the person who's hobby is gardening is on the left of the person who's hobby is video-games
5. the person who's hobby is gardening is the person who's sport is volleyball
6. the person watching comedy movies is the owner of the bird
7. the person who's hobby is board-games is the person watching disaster movies
8. the person who's sport is climbing is in the middle
9. the person eating carrot is on the far left
10. the person watching animation movies is on the left or right of the owner of the cat
11. the owner of the horses is on the left or right of the person watching disaster movies
12. the person watching thriller movies is the person who's sport is sailing
13. the person eating peach is the person watching spy movies
14. the person eating carrot is on the left or right of the person who's hobby is puzzles
15. the person watching animation movies is on the left or right of the person who's sport is ice-hockey","{'hobby': ['board-games', 'puzzles', 'camping', 'gardening', 'video-games'], 'food': ['carrot', 'papaya', 'eggplant', 'peach', 'pepper'], 'pet': ['cat', 'horse', 'bird', 'fish', 'dog'], 'sport': ['ice-hockey', 'handball', 'climbing', 'volleyball', 'sailing'], 'movie-genre': ['disaster', 'animation', 'comedy', 'spy', 'thriller']}"
Pt1_Einstein_5domain_replacements-1,"The people prefer 5 different music-genres: pop, funk, blues, techno, disco
The people prefer 5 different types of sport: swimming, lacrosse, biathlon, parkour, cycling
The people have 5 different jobs:  teacher, architect, goerman, entrepreneur, dressmaker
5 different games are played: whist, backgammon, chess, go, scrabble
1. the fan of pop is the person traveling to venice
2. the fan of disco is the person playing chess
3. the fan of funk is the person who's sport is parkour
4. the person traveling to paris is on the left of the person traveling to nizza
5. the person traveling to paris is the person who's sport is lacrosse
6. the goerman is the person playing backgammon
7. the person traveling to london is the architect
8. the person who's sport is biathlon is in the middle
9. the fan of techno is on the far left
10. the dressmaker is on the left or right of the person playing whist
11. the person playing scrabbles is on the left or right of the architect
12. the teacher is the person who's sport is swimming
13. the fan of blues is the entrepreneur
14. the fan of techno is on the left or right of the person traveling to miami
15. the dressmaker is on the left or right of the person who's sport is cycling","{'city': ['london', 'miami', 'venice', 'paris', 'nizza'], 'music-genre': ['techno', 'funk', 'pop', 'blues', 'disco'], 'game': ['whist', 'scrabble', 'backgammon', 'go', 'chess'], 'sport': ['cycling', 'parkour', 'biathlon', 'lacrosse', 'swimming'], 'job': ['architect', 'dressmaker', 'goerman', 'entrepreneur', 'teacher']}"
