"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **horses**. Give the answer in the format **horses:Num**."	horses	5
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **blue**. Give the answer in the format **blue:Num**."	blue	2
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **green**. Give the answer in the format **green:Num**."	green	3
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **red**. Give the answer in the format **red:Num**."	red	4
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **white**. Give the answer in the format **white:Num**."	white	3
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **yellow**. Give the answer in the format **yellow:Num**."	yellow	4
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **brit**. Give the answer in the format **brit:Num**."	brit	4
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **dane**. Give the answer in the format **dane:Num**."	dane	6
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **german**. Give the answer in the format **german:Num**."	german	7
"Solve the following logic puzzle: 
There are 5 houses (in a row) painted 5 different colors: Blue, Green, Red, White and Yellow.
In each house there lives a person of a different nationality: Brit, Dane, German, Norwegian or Swede.
These 5 owners each drink a certain beverage: Beer, Coffee, Milk, Tea or Water.
They also smoke a certain brand of cigar: Bluemaster, Dunhill, Pall Mall, Prince or Blend.
Additionally, they also keep a certain type of pet: Cats, Birds, Dogs, Fish or Horses.
The owners DO NOT have the same pet, smoke the same brand of cigar or drink the same beverage.
1. The Brit lives in a Red house.
2. The Swede keeps Dogs as pets.
3. The Dane drinks Tea.
4. The Green house is on the left of the White house.
5. The Green house owner drinks Coffee.
6. The owner who smokes Pall Mall rears Birds.
7. The owner of the Yellow house smokes Dunhill.
8. The owner living in the center house drinks Milk.
9. The Norwegian lives in the first house.
10. The owner who smokes Blend lives next to the one who keeps Cats.
11. The owner who keeps horses lives next to the man who smokes Dunhill.
12. The owner who smokes Bluemaster drinks Beer.
13. The German smokes Prince.
14. The Norwegian lives next to the Blue house.
15. The owner who smokes Blend has a neighbor who drinks Water. 

 After solving tell me where is **norwegian**. Give the answer in the format **norwegian:Num**."	norwegian	1
